WARNING:tensorflow:From /gpfs/main/home/nkumar15/Documents/research/derby/venv/lib/python3.7/site-packages/tensorflow/python/ops/math_grad.py:297: setdiff1d (from tensorflow.python.ops.array_ops) is deprecated and will be removed after 2018-11-30.
Instructions for updating:
This op will be removed after the deprecation date. Please switch to tf.sets.difference().
Running experiment exp_15
days per traj: 5, trajs per epoch: 10, EPOCHS: 50000
agent policies: [<derby.core.policies.AC_Q_Triangular_MarketEnv_Continuous object at 0x7fd288f76b38>, <derby.core.policies.DummyPolicy1 object at 0x7fd288790cc0>]
optimizer: <tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fd288835ac8>, learning_rate: 8e-07
Avg. of last 50 epochs: [('agent1', -671.7854146050329, 67.03833281744623), ('agent2', 0.0, 0.0)]
epoch: 50, avg and std rwds: [('agent1', -640.9866027121082, 69.57130021169239), ('agent2', 0.0, 0.0)]
epoch: 51, avg and std rwds: [('agent1', -647.8979804776293, 45.08660847527973), ('agent2', 0.0, 0.0)]
epoch: 52, avg and std rwds: [('agent1', -602.468313716386, 62.68174892624651), ('agent2', 0.0, 0.0)]
epoch: 53, avg and std rwds: [('agent1', -668.8685136212741, 56.24313388602372), ('agent2', 0.0, 0.0)]
epoch: 54, avg and std rwds: [('agent1', -654.7323768869733, 45.465479131815265), ('agent2', 0.0, 0.0)]
epoch: 55, avg and std rwds: [('agent1', -679.2403959695316, 53.69260513279386), ('agent2', 0.0, 0.0)]
epoch: 56, avg and std rwds: [('agent1', -640.7973777119264, 82.3345613524596), ('agent2', 0.0, 0.0)]
epoch: 57, avg and std rwds: [('agent1', -687.4048643378507, 47.292149613302676), ('agent2', 0.0, 0.0)]
epoch: 58, avg and std rwds: [('agent1', -653.3725142194832, 50.90107857926312), ('agent2', 0.0, 0.0)]
epoch: 59, avg and std rwds: [('agent1', -638.1555672231824, 49.1451195275921), ('agent2', 0.0, 0.0)]
epoch: 60, avg and std rwds: [('agent1', -694.9525244866522, 43.30090729135695), ('agent2', 0.0, 0.0)]
epoch: 61, avg and std rwds: [('agent1', -654.2262605796222, 71.74416405316657), ('agent2', 0.0, 0.0)]
epoch: 62, avg and std rwds: [('agent1', -665.2851182280408, 93.3691088752509), ('agent2', 0.0, 0.0)]
epoch: 63, avg and std rwds: [('agent1', -674.3479524185793, 61.494946711410115), ('agent2', 0.0, 0.0)]
epoch: 64, avg and std rwds: [('agent1', -674.9782104638813, 90.74803764116825), ('agent2', 0.0, 0.0)]
epoch: 65, avg and std rwds: [('agent1', -661.2151284675704, 67.48340891287543), ('agent2', 0.0, 0.0)]
epoch: 66, avg and std rwds: [('agent1', -661.3452551866902, 62.481528193122614), ('agent2', 0.0, 0.0)]
epoch: 67, avg and std rwds: [('agent1', -669.6291969966676, 62.408446453795015), ('agent2', 0.0, 0.0)]
epoch: 68, avg and std rwds: [('agent1', -651.158033412368, 44.13642947417332), ('agent2', 0.0, 0.0)]
epoch: 69, avg and std rwds: [('agent1', -646.2355788620737, 45.94432624586738), ('agent2', 0.0, 0.0)]
epoch: 70, avg and std rwds: [('agent1', -690.9248181230297, 72.1970691340707), ('agent2', 0.0, 0.0)]
epoch: 71, avg and std rwds: [('agent1', -632.9796602567028, 51.98582579232969), ('agent2', 0.0, 0.0)]
epoch: 72, avg and std rwds: [('agent1', -636.1272483767746, 58.0657677750957), ('agent2', 0.0, 0.0)]
epoch: 73, avg and std rwds: [('agent1', -691.8568562984931, 54.88753453913992), ('agent2', 0.0, 0.0)]
epoch: 74, avg and std rwds: [('agent1', -676.5231063245749, 59.84841877712015), ('agent2', 0.0, 0.0)]
epoch: 75, avg and std rwds: [('agent1', -640.4808927474468, 56.72320163426997), ('agent2', 0.0, 0.0)]
epoch: 76, avg and std rwds: [('agent1', -624.5537952071381, 72.0083483892277), ('agent2', 0.0, 0.0)]
epoch: 77, avg and std rwds: [('agent1', -668.6969834903676, 90.54875324933273), ('agent2', 0.0, 0.0)]
epoch: 78, avg and std rwds: [('agent1', -677.801682271336, 34.512330330350856), ('agent2', 0.0, 0.0)]
epoch: 79, avg and std rwds: [('agent1', -649.4275837065272, 50.79559707607895), ('agent2', 0.0, 0.0)]
epoch: 80, avg and std rwds: [('agent1', -633.4002802370634, 67.85104532463276), ('agent2', 0.0, 0.0)]
epoch: 81, avg and std rwds: [('agent1', -680.3739877223525, 55.09653391446854), ('agent2', 0.0, 0.0)]
epoch: 82, avg and std rwds: [('agent1', -656.1890570314779, 65.91776301231599), ('agent2', 0.0, 0.0)]
epoch: 83, avg and std rwds: [('agent1', -657.8434758683574, 65.04278880969565), ('agent2', 0.0, 0.0)]
epoch: 84, avg and std rwds: [('agent1', -618.5139212463694, 62.8243997745343), ('agent2', 0.0, 0.0)]
epoch: 85, avg and std rwds: [('agent1', -647.1374201608853, 74.77866996929053), ('agent2', 0.0, 0.0)]
epoch: 86, avg and std rwds: [('agent1', -623.9529244612628, 35.83980285508041), ('agent2', 0.0, 0.0)]
epoch: 87, avg and std rwds: [('agent1', -655.1094436369528, 56.58383703837781), ('agent2', 0.0, 0.0)]
epoch: 88, avg and std rwds: [('agent1', -688.5320208309417, 65.46572562237716), ('agent2', 0.0, 0.0)]
epoch: 89, avg and std rwds: [('agent1', -701.5477908915061, 63.43109785337213), ('agent2', 0.0, 0.0)]
epoch: 90, avg and std rwds: [('agent1', -612.8004461309846, 63.01892152098149), ('agent2', 0.0, 0.0)]
epoch: 91, avg and std rwds: [('agent1', -673.6292318012829, 62.660205021883904), ('agent2', 0.0, 0.0)]
epoch: 92, avg and std rwds: [('agent1', -679.5544466469244, 85.37368618419458), ('agent2', 0.0, 0.0)]
epoch: 93, avg and std rwds: [('agent1', -685.8468910262984, 66.03827921772327), ('agent2', 0.0, 0.0)]
epoch: 94, avg and std rwds: [('agent1', -642.2062255406339, 82.45664538235552), ('agent2', 0.0, 0.0)]
epoch: 95, avg and std rwds: [('agent1', -640.5094308569312, 73.95315594556449), ('agent2', 0.0, 0.0)]
epoch: 96, avg and std rwds: [('agent1', -638.7351649873913, 63.983750801483346), ('agent2', 0.0, 0.0)]
epoch: 97, avg and std rwds: [('agent1', -638.3529638852021, 92.39574683548666), ('agent2', 0.0, 0.0)]
epoch: 98, avg and std rwds: [('agent1', -649.5455038788967, 53.024347963613884), ('agent2', 0.0, 0.0)]
epoch: 99, avg and std rwds: [('agent1', -644.8160760371588, 52.62408651185931), ('agent2', 0.0, 0.0)]
Avg. of last 50 epochs: [('agent1', -656.5053419131951, 67.72545186899293), ('agent2', 0.0, 0.0)]
epoch: 100, avg and std rwds: [('agent1', -679.8760997722529, 34.12777324749223), ('agent2', 0.0, 0.0)]
epoch: 101, avg and std rwds: [('agent1', -636.4901820648469, 64.72837802867457), ('agent2', 0.0, 0.0)]
epoch: 102, avg and std rwds: [('agent1', -666.8408099669372, 67.82024964636449), ('agent2', 0.0, 0.0)]
epoch: 103, avg and std rwds: [('agent1', -647.601015886659, 39.49211861886342), ('agent2', 0.0, 0.0)]
epoch: 104, avg and std rwds: [('agent1', -678.9234826494636, 85.22429194381155), ('agent2', 0.0, 0.0)]
epoch: 105, avg and std rwds: [('agent1', -661.6302009435675, 49.24361595863825), ('agent2', 0.0, 0.0)]
epoch: 106, avg and std rwds: [('agent1', -648.2800362492295, 48.104263525027655), ('agent2', 0.0, 0.0)]
epoch: 107, avg and std rwds: [('agent1', -645.8393726931454, 68.73277685280212), ('agent2', 0.0, 0.0)]
epoch: 108, avg and std rwds: [('agent1', -706.7786439530316, 61.33800057203917), ('agent2', 0.0, 0.0)]
epoch: 109, avg and std rwds: [('agent1', -638.1187671488838, 29.26442814204939), ('agent2', 0.0, 0.0)]
epoch: 110, avg and std rwds: [('agent1', -661.4715847578509, 44.4291689887049), ('agent2', 0.0, 0.0)]
epoch: 111, avg and std rwds: [('agent1', -620.4910642150314, 58.73593144591147), ('agent2', 0.0, 0.0)]
epoch: 112, avg and std rwds: [('agent1', -599.0364603728711, 29.283728256188002), ('agent2', 0.0, 0.0)]
epoch: 113, avg and std rwds: [('agent1', -611.7326391321687, 67.28684922292666), ('agent2', 0.0, 0.0)]
epoch: 114, avg and std rwds: [('agent1', -561.0768679610742, 55.65502271636741), ('agent2', 0.0, 0.0)]
epoch: 115, avg and std rwds: [('agent1', -546.367984285562, 39.97649984912395), ('agent2', 0.0, 0.0)]
epoch: 116, avg and std rwds: [('agent1', -500.5821664792817, 35.0035725212537), ('agent2', 0.0, 0.0)]
epoch: 117, avg and std rwds: [('agent1', -574.6985190691208, 53.28420987762866), ('agent2', 0.0, 0.0)]
epoch: 118, avg and std rwds: [('agent1', -526.0398482910397, 57.29309237769463), ('agent2', 0.0, 0.0)]
epoch: 119, avg and std rwds: [('agent1', -556.9729818481953, 28.99693581185822), ('agent2', 0.0, 0.0)]
epoch: 120, avg and std rwds: [('agent1', -518.1285328500347, 42.437004138264044), ('agent2', 0.0, 0.0)]
epoch: 121, avg and std rwds: [('agent1', -526.0261989724672, 50.66944353816708), ('agent2', 0.0, 0.0)]
epoch: 122, avg and std rwds: [('agent1', -498.1266988514835, 65.37021861036538), ('agent2', 0.0, 0.0)]
epoch: 123, avg and std rwds: [('agent1', -529.0212980669656, 34.5866680665771), ('agent2', 0.0, 0.0)]
epoch: 124, avg and std rwds: [('agent1', -509.0036342197065, 57.96115803055502), ('agent2', 0.0, 0.0)]
